github_id,target_role,total_repos,top_languages,topics
thunderbolt990525,Web Frontend (Lv1. 의심 / 8점),26,"{'JavaScript': 4, 'HTML': 1, 'Python': 1}","['nuxt', 'vuejs']"
suhelhasan,Web Frontend (Lv2. 강한 의심 / 24점),29,"{'JavaScript': 10, 'CSS': 5, 'TypeScript': 3}","['webapp', 'javscript', 'reactjs', 'website']"
Ashrayaa,Web Frontend (Lv2. 강한 의심 / 29점),31,"{'JavaScript': 9, 'TypeScript': 6, 'HTML': 4}","['webapp', 'youtube-api', 'clone-app', 'create-react-app', 'tailwindcss', 'youtube']"
yusufkecer,Mobile App (Lv1. 의심 / 13점),24,"{'Dart': 11, 'C++': 5, 'Kotlin': 2}","['config', 'github-config']"
arthurfiorette,"Web Frontend (Lv2. 강한 의심 / 43점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 15점)",56,"{'TypeScript': 25, 'JavaScript': 8, 'Rust': 4}","['tc39', 'javascript', 'request', 'declarations', 'type', 'object', 'axios-cache-interceptor', 'minecraft', 'college', 'desktop']"
ircfspace,"Web Frontend (Lv1. 의심 / 13점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 5.5점)",25,"{'JavaScript': 7, 'PHP': 5, 'Go': 5}","['noadminrequired', 'location', 'subnet', 'shadowsocks', 'vpn', 'x-core', 'ranges', 'cdn', 'linux', 'proxyreset']"
abdurrahman-webdev,Web Frontend (Lv2. 강한 의심 / 67점),66,"{'JavaScript': 39, 'HTML': 11, 'EJS': 6}","['reactjs', 'nodejs', 'chess', 'tailwindcss', 'expressjs', 'tailwind', 'mongodb', 'react']"
teamssix,DevOps/SRE (Lv1. 의심 / 6점),11,"{'Shell': 2, 'Go': 2, 'EJS': 1}","['docker', 'cybersecurity', 'awesome', 'tools', 'cloudnative', 'security', 'wiki', 'cloud', 'cloudsecurity', 'awesome-cloud-security']"
kishanrajput23,"Web Frontend (Lv2. 강한 의심 / 48점)
 🕵️ 부캐 스캔: Web Backend (Lv2. 강한 의심 / 29.5점)",100,"{'C++': 15, 'Python': 13, 'HTML': 12}","['bootstrap', 'backend-webdevelopment', 'python-for-beginners', 'cpp-task', 'learning', 'quizes', 'java-codes', 'cpp-hands-on', 'daily-task-management', 'webapp']"
MsLolita,"Web Backend (Lv2. 강한 의심 / 16.5점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv2. 강한 의심 / 16.5점)",42,"{'Python': 33, 'JavaScript': 4, 'Batchfile': 1}",[]
ImKennyYip,"Web Frontend (Lv2. 강한 의심 / 41점)
 🕵️ 부캐 스캔: Web Backend (Lv2. 강한 의심 / 16.0점)",65,"{'JavaScript': 32, 'Java': 12, 'Python': 8}","['flappy-bird-game-code', 'javagame', 'github-config', 'tutorial', 'javascript', 'flappy-bird-java', 'java-game', 'pacman-javafx', 'rock-paper-scissors-javascript-game', 'rock-paper-scissors-js']"
mouadchahid1,Web Frontend (Lv1. 의심 / 7점),13,"{'CSS': 5, 'PHP': 4, 'JavaScript': 1}","['config', 'github-config']"
WebDevYCH,"Web Frontend (Lv3. 확신 / 81점)
 🕵️ 부캐 스캔: Mobile App (Lv1. 의심 / 8점)",36,"{'JavaScript': 16, 'TypeScript': 3, 'PHP': 3}","['reactdom', 'vue-cli', 'webpack', 'cypress', 'rebase', 'chat', 'video', 'api', 'laravel', 'github']"
Akinyemi-samuel,"Web Backend (Lv2. 강한 의심 / 34점)
 🕵️ 부캐 스캔: Mobile App (Lv1. 의심 / 6점)",23,"{'Java': 16, 'TypeScript': 2, 'SCSS': 1}","['facebook', 'stripe', 'room-database', 'mysql', 'microservices', 'security', 'authorization', 'maven', 'android', 'authentication']"
Jiayi-Pan,X (추론 안됨),24,"{'Python': 7, 'Jupyter Notebook': 5, 'C++': 1}","['feed', 'localization', 'arxiv', 'subscription', 'robotics']"
MUMIT-404-CYBER,"Web Backend (Lv1. 의심 / 6.0점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv1. 의심 / 6.0점)",26,{'Python': 12},[]
ploopyco,X (추론 안됨),23,"{'C': 3, 'C++': 2, 'Python': 2}",[]
kh-mahmoud,Web Frontend (Lv2. 강한 의심 / 43점),51,"{'TypeScript': 25, 'JavaScript': 15, 'Jupyter Notebook': 4}",[]
MhankBarBar,"Web Backend (Lv1. 의심 / 9.0점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv1. 의심 / 9.0점)",26,"{'Python': 18, 'JavaScript': 4, 'HTML': 1}","['flask-application', 'zenless-zone-zero', 'manga-downloader', 'pypi-package', 'flask', 'honkai-star-rail', 'python3', 'neonize', 'python-library', 'doujindesu']"
entbappy,"Web Backend (Lv2. 강한 의심 / 19.5점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv2. 강한 의심 / 19.5점)",100,"{'Jupyter Notebook': 50, 'Python': 39, 'HTML': 2}",[]
Singh-csm,Web Frontend (Lv3. 확신 / 117점),100,"{'JavaScript': 54, 'CSS': 8, 'HTML': 5}","['payment-integration', 'stripe-api', 'github-config', 'redis', 'bootstrap', 'javascript', 'react-redux', 'callback', 'queries', 'linux']"
wackerow,Web Frontend (Lv2. 강한 의심 / 17점),70,"{'TypeScript': 8, 'JavaScript': 7, 'HTML': 2}","['typescript', 'testing', 'javascript']"
phanatagama,"Mobile App (Lv2. 강한 의심 / 38점)
 🕵️ 부캐 스캔: Web Frontend (Lv2. 강한 의심 / 29점)",51,"{'JavaScript': 8, 'Python': 7, 'Dart': 5}","['bootstrap', 'javascript', 'qrcode-reader', 'muslim', 'desktop-app', 'decoder', 'csrf-attacks', 'workshop-materials', 'rabbitmq', 'android']"
angryman312,Web Frontend (Lv2. 강한 의심 / 64점),100,"{'JavaScript': 34, 'HTML': 15, 'TypeScript': 11}",[]
cassiano-dio,"Web Backend (Lv2. 강한 의심 / 57.0점)
 🕵️ 부캐 스캔: Web Frontend (Lv2. 강한 의심 / 35점)",100,"{'Java': 55, 'JavaScript': 30, 'Python': 4}",[]
angelicaweiler,Web Backend (Lv2. 강한 의심 / 31점),34,"{'Java': 31, 'JavaScript': 1, 'C#': 1}",[]
marlenezw,"Web Backend (Lv1. 의심 / 9.5점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv1. 의심 / 9.5점)",100,"{'Python': 19, 'Jupyter Notebook': 17, 'Bicep': 8}","['python', 'mcp-server', 'mcp', 'mcp-registry']"
Freddywhest,"Web Frontend (Lv2. 강한 의심 / 44점)
 🕵️ 부캐 스캔: Web Backend (Lv2. 강한 의심 / 34.0점)",71,"{'JavaScript': 32, 'TypeScript': 7, 'PHP': 5}","['timefarmcryptobot-clicker', 'yescoin', 'dotcoin-auto-bot', 'github-config', 'bunnyapp-tapper', 'laravel-firebase', 'dotcoin-telegram-bot', 'rocky-rabbit-autobot', 'timefarm-telegram-bot', 'freddybots']"
ariaesm,X (추론 안됨),22,"{'Python': 6, 'Jupyter Notebook': 2, 'HTML': 1}",[]
MobinaJafarian,"Web Backend (Lv2. 강한 의심 / 39점)
 🕵️ 부캐 스캔: Web Frontend (Lv1. 의심 / 14점)",20,"{'PHP': 11, 'Blade': 4, 'JavaScript': 2}","['github-config', 'bootstrap', 'php-framework', 'breeze', 'sanctum', 'vuejs', 'laravel-ui-bootstrap', 'property', 'laravelapi', 'composer']"
zwf234,Web Frontend (Lv1. 의심 / 6점),44,"{'JavaScript': 3, 'TypeScript': 2, 'HTML': 1}",[]
HamidrezaBahmani,"Web Frontend (Lv2. 강한 의심 / 41점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 5.5점)",46,"{'JavaScript': 31, 'TypeScript': 5, 'CSS': 3}","['airtable', 'foursquare-api', 'unspalsh', 'nextjs']"
DingXiaoH,"Web Backend (Lv1. 의심 / 5.5점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv1. 의심 / 5.5점)",32,"{'Python': 11, 'CSS': 1, 'HTML': 1}",[]
xinliangnote,Web Backend (Lv1. 의심 / 12점),13,"{'Go': 6, 'HTML': 1, 'JavaScript': 1}","['viper', 'swoole', 'swoole-websocket', 'wechat-client', 'jaeger', 'swoole-http', 'cron', 'swoole-server', 'wechat-sdk', 'prometheus']"
jeniblodev,"Web Frontend (Lv1. 의심 / 15점)
 🕵️ 부캐 스캔: Game Dev (Lv1. 의심 / 12점)",50,"{'C#': 12, 'Java': 6, 'JavaScript': 5}","['imersao-react', 'alura', 'aluraquiz']"
jadaun-sahab,"Web Frontend (Lv2. 강한 의심 / 34점)
 🕵️ 부캐 스캔: Web Backend (Lv2. 강한 의심 / 18점)",36,"{'HTML': 16, 'JavaScript': 8, 'Java': 3}","['bootstrap', 'github-config', 'javascript', 'crud-operation', 'netlify', 'html-css-javascript', 'api', 'html5', 'sql', 'rest-api']"
arpy8,"Web Backend (Lv2. 강한 의심 / 37.5점)
 🕵️ 부캐 스캔: Web Frontend (Lv2. 강한 의심 / 33점)",100,"{'Python': 45, 'JavaScript': 14, 'HTML': 10}","['logistic-regression', 'bootstrap', 'javascript', 'voice-assistant', 'udemy-course', 'openai-api', 'newsapi', 'package', 'alzheimer-disease-prediction', 'ai']"
picoxr,"Game Dev (Lv2. 강한 의심 / 36점)
 🕵️ 부캐 스캔: Web Backend (Lv2. 강한 의심 / 23점)",80,"{'C#': 36, 'Java': 23, 'C++': 11}",[]
P-N-Suganthan,X (추론 안됨),39,"{'C++': 2, 'MATLAB': 1}",[]
Rahat-Khan-Pathan,"Web Frontend (Lv3. 확신 / 103점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 13.0점)",78,"{'JavaScript': 31, 'HTML': 15, 'C++': 9}","['react-components', 'firebase-cloud-messaging', 'recursion', 'private-routes', 'number-theory', 'express-js', 'python', 'naive-bayes-classifier', 'firebase-authentication', 'command-line']"
paren-thesis,"Web Frontend (Lv2. 강한 의심 / 18점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 9.5점)",100,"{'Java': 8, 'HTML': 7, 'JavaScript': 6}",[]
ferris007,"Web Frontend (Lv2. 강한 의심 / 21점)
 🕵️ 부캐 스캔: Systems/Embedded (Lv1. 의심 / 6점)",43,"{'TypeScript': 18, 'Python': 7, 'Rust': 5}","['crypto', 'invest', 'arbitrage', 'dex', 'investment', 'investor', 'trading', 'market-making', 'trading-bot', 'transaction']"
SantanuAdhikary,Web Frontend (Lv2. 강한 의심 / 29점),34,"{'JavaScript': 18, 'HTML': 11, 'Handlebars': 3}",[]
Forest410,Web Frontend (Lv2. 강한 의심 / 18점),43,"{'JavaScript': 10, 'TypeScript': 5, 'Solidity': 4}",[]
aydinnyunus,"ML/AI Engineer (Lv3. 확신 / 125.5점)
 🕵️ 부캐 스캔: Web Backend (Lv2. 강한 의심 / 61.5점)",96,"{'Python': 29, 'Go': 13, 'Jupyter Notebook': 5}","['cancer', 'dictionary-learning', 'math', 'linkedin-profile', 'math-library', 'webapp', 'assistant-chat-bots', 'problemsolving', 'tensorflow-tutorials', 'bugbountytips']"
JuanBindez,"Web Backend (Lv2. 강한 의심 / 32.5점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv2. 강한 의심 / 23.5점)",100,"{'Python': 47, 'Shell': 6, 'HTML': 6}","['pytube', 'linux-desktop', 'extractor', 'phoneutria', 'api', 'ai', 'download-videos', 'spectral-analysis', 'download-managers', 'calculator']"
tomwechsler,X (추론 안됨),100,"{'PowerShell': 29, 'Shell': 18, 'Bicep': 4}","['azure-fundamentals', 'kql', 'exchangeonlinemanagement', 'wsl2', 'preparation', 'lpic-3', 'group-policy', 'iac', 'command-line', 'active-directory']"
alinealien,"Web Frontend (Lv2. 강한 의심 / 34점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 14.5점)",72,"{'JavaScript': 13, 'Java': 13, 'HTML': 11}","['dio', 'github-config', 'digitalinnovationone', 'javascript', 'mulheres-na-tecnologia', 'java', 'dio-bootcamp', 'config', 'philips-dev-week', 'jogo-da-velha']"
YadlaMani,"Web Frontend (Lv2. 강한 의심 / 68점)
 🕵️ 부캐 스캔: Web Backend (Lv2. 강한 의심 / 25.5점)",100,"{'TypeScript': 39, 'JavaScript': 22, 'Rust': 13}","['codechef', 'coding-profile', 'privacy', 'open-source', 'anchor', 'spl-token', 'rust', 'base', 'arcium', 'api']"
Barsaan,Web Frontend (Lv1. 의심 / 7점),28,"{'TypeScript': 6, 'CSS': 1}","['config', 'github-config']"
IsabelaHaddad,Web Frontend (Lv2. 강한 의심 / 24점),31,"{'HTML': 22, 'CSS': 2}","['ge-programacao2022', 'github-config', 'config', 'prof-eduarda-turmae']"
LaithGhnemat12302,Web Backend (Lv2. 강한 의심 / 19.5점),32,"{'Java': 16, 'Python': 7, 'HTML': 4}",[]
Charles-Chrismann,Web Frontend (Lv2. 강한 의심 / 22점),28,"{'TypeScript': 10, 'JavaScript': 9, 'HTML': 3}","['postgresql', 'javascript', 'nextjs', 'postgres', 'next', 'nestjs', 'nest', 'typescript', 'turborepo', 'drizzle-orm']"
alicangunduz,Web Frontend (Lv1. 의심 / 13점),21,"{'JavaScript': 12, 'PHP': 2, 'TypeScript': 1}","['nextjs', 'paywant-odeme-alma-kodu', 'paywant', 'geeksforgeeks-solutions', 'paywant-ile-odeme-al', 'derken-yonetim', 'altogic', 'expense-tracker', 'nextjs14', 'gemini-api']"
IamJapneet,X (추론 안됨),16,"{'Python': 6, 'Java': 1}",[]
ajauntor,Web Frontend (Lv2. 강한 의심 / 50점),64,"{'JavaScript': 28, 'HTML': 16, 'Python': 7}",[]
YasinRezvani,"ML/AI Engineer (Lv2. 강한 의심 / 40.5점)
 🕵️ 부캐 스캔: Web Backend (Lv2. 강한 의심 / 23.5점)",35,"{'Python': 15, 'CSS': 8, 'HTML': 3}","['bootstrap', 'javascript', 'guess', 'pytorch', 'polynomial-manipulation', 'crud-application', 'cpp', 'oop', 'generator', 'audio-signal-processing']"
SiegfriedBz,"Web Frontend (Lv3. 확신 / 209점)
 🕵️ 부캐 스캔: Web Backend (Lv2. 강한 의심 / 18.5점)",100,"{'JavaScript': 42, 'TypeScript': 25, 'Solidity': 6}","['stripe-api', 'dark-theme', 'shadcn-ui', 'datocms', 'mapbox', 'tailwind-css', 'framer-motion', 'aggregation-pipleline', 'lingui', 'tailwindcss']"
Safiullahgithub,Web Backend (Lv1. 의심 / 7.0점),44,"{'Jupyter Notebook': 7, 'Python': 6, 'Java': 3}",[]
Daniel-Alvarenga,"ML/AI Engineer (Lv2. 강한 의심 / 19.0점)
 🕵️ 부캐 스캔: Web Frontend (Lv1. 의심 / 12점)",27,"{'Python': 8, 'JavaScript': 5, 'Vue': 3}","['manifest-json', 'github-config', 'github-pages', 'github-submodule', 'set-interval', 'adversarial-machine-learning', 'submodule-eventnotification', 'json-storage', 'dom-manipulation', 'digits-classification']"
Talent0727,"Web Frontend (Lv2. 강한 의심 / 41점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 12.5점)",91,"{'JavaScript': 23, 'TypeScript': 18, 'Python': 11}",[]
danmaster01,X (추론 안됨),16,{'Go': 1},"['config', 'github-config']"
farhanashrafdev,"Web Frontend (Lv1. 의심 / 15점)
 🕵️ 부캐 스캔: Systems/Embedded (Lv1. 의심 / 11점)",76,"{'C++': 11, 'JavaScript': 9, 'Python': 5}","['ethical-hacking', 'learn', 'red-team', 'prompt-injection', 'cybersecurity', 'student-vscode', 'gcp', 'devops', 'cli', 'google-cloud']"
osamaayub,"Web Frontend (Lv3. 확신 / 221점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 6.5점)",100,"{'JavaScript': 52, 'HTML': 16, 'CSS': 14}","['redux-saga', 'javascript', 'react-redux', 'opentrivia-api', 'sanity-base', 'abstraction', 'graphql', 'json-data', 'tailwind-css', 'framer-motion']"
vikashishere,"Web Backend (Lv1. 의심 / 12.0점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv1. 의심 / 12.0점)",62,"{'Jupyter Notebook': 29, 'Python': 24, 'CSS': 2}",[]
SatinWukerORIG,"Web Backend (Lv1. 의심 / 6.0점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv1. 의심 / 6.0점)",53,"{'Python': 12, 'Rust': 3, 'JavaScript': 2}","['tutorial', 'rubikscube', 'hexo-site', 'rubiks-cube-3x3', 'hexo', 'rubiks-cube', 'scraper', 'cpp', 'spider', 'github-actions']"
INotGreen,X (추론 안됨),62,"{'C#': 4, 'PowerShell': 4, 'Go': 1}","['pentest-tool', 'ps1tovbs', 'weaponized', 'c2', 'nopowershell', 'ps1toexe', 'shellcodeloader', 'bypass-antivirus', 'scanner']"
Shazia-Nasreen,"Web Frontend (Lv2. 강한 의심 / 17점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 7점)",51,"{'HTML': 9, 'Java': 7, 'JavaScript': 6}",[]
PrathamKumar14,Web Frontend (Lv2. 강한 의심 / 51점),69,"{'JavaScript': 36, 'HTML': 11, 'Python': 5}",[]
sapphi-red,"Web Frontend (Lv2. 강한 의심 / 53점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 7점)",100,"{'TypeScript': 39, 'JavaScript': 13, 'Rust': 7}","['noise-suppression', 'vitepress', 'hubot-adapter', 'webaudioapi', 'traq-bot', 'noise-cancellation', 'vite-plugin', 'vitepress-plugin', 'vite', 'webaudio']"
Bnyro,"Systems/Embedded (Lv2. 강한 의심 / 19점)
 🕵️ 부캐 스캔: Web Frontend (Lv1. 의심 / 10점)",73,"{'Rust': 15, 'HTML': 5, 'Go': 5}",[]
so1ve,"Web Frontend (Lv2. 강한 의심 / 74점)
 🕵️ 부캐 스캔: Systems/Embedded (Lv1. 의심 / 6점)",70,"{'TypeScript': 43, 'Rust': 6, 'JavaScript': 6}","['logger', 'webpack', 'javascript', 'netlify', 'devtools', 'unplugin', 'cdn', 'scoop-apps', 'vscode', 'vscode-theme']"
czbag,"Web Backend (Lv1. 의심 / 15.0점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv1. 의심 / 6.0점)",19,"{'Python': 12, 'TypeScript': 2}","['web3py', 'blockchain', 'starknet', 'starknet-ecosystem', 'ethereum', 'zk-snarks', 'scroll-ecosystem', 'starknet-py', 'base', 'api']"
end-4,"Web Frontend (Lv1. 의심 / 8점)
 🕵️ 부캐 스캔: Systems/Embedded (Lv1. 의심 / 6점)",36,"{'JavaScript': 6, 'Python': 5, 'C++': 3}","['hyprland', 'wayland', 'github-config', 'awesomewm', 'dotfiles', 'linux', 'xorg', 'ricing', 'window-manager', 'quickshell']"
mayooear,Web Frontend (Lv1. 의심 / 14점),27,"{'TypeScript': 7, 'Jupyter Notebook': 1, 'Python': 1}","['agents', 'javascript', 'gpt3', 'mistral', 'supabase', 'ai', 'chatbot', 'ggml', 'sales', 'nextjs']"
smarttopdev,Web Frontend (Lv1. 의심 / 15점),25,"{'TypeScript': 7, 'JavaScript': 6, 'Java': 2}",[]
GabrielNat1,"Web Backend (Lv2. 강한 의심 / 53.5점)
 🕵️ 부캐 스캔: Web Frontend (Lv1. 의심 / 8점)",37,"{'Java': 10, 'Go': 6, 'TypeScript': 4}","['javascript', 'django-api', 'lua', 'microservices', 'minecraft-bot', 'crud-api', 'yarn', 'minecraft-server', 'api', 'minecraft']"
Gjadam,Web Frontend (Lv2. 강한 의심 / 41점),15,"{'JavaScript': 7, 'HTML': 3, 'TypeScript': 2}","['github-config', 'react-query', 'javascript', 'supabase', 'html5', 'owl-carousel', 'recharts', 'react-icon', 'react-dom', 'javascrpit']"
joswinemmanuel,"Web Frontend (Lv2. 강한 의심 / 58점)
 🕵️ 부캐 스캔: Web Backend (Lv2. 강한 의심 / 40.0점)",100,"{'HTML': 19, 'Python': 18, 'CSS': 10}","['bootstrap', 'javascript', 'reportlab', 'vr', 'nodemon', 'password-hashing', 'sql', 'cpp', 'framer-motion', 'puppeteer']"
isilkiziltas,Web Frontend (Lv1. 의심 / 9점),22,"{'JavaScript': 5, 'C++': 3, 'Swift': 3}",[]
rohan1917,Web Frontend (Lv1. 의심 / 15점),38,"{'JavaScript': 8, 'HTML': 6, 'CSS': 1}",[]
cuynu,X (추론 안됨),23,"{'Shell': 7, 'C': 3, 'Java': 3}","['vanced', 'archive', 'custom-roms', 'android', 'rom']"
nelokusa,"Web Frontend (Lv2. 강한 의심 / 26점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 5.5점)",43,"{'JavaScript': 19, 'Python': 11, 'TypeScript': 7}",[]
megh-bari,"Web Frontend (Lv2. 강한 의심 / 60점)
 🕵️ 부캐 스캔: Systems/Embedded (Lv1. 의심 / 6점)",44,"{'JavaScript': 13, 'TypeScript': 12, 'CSS': 7}","['javascript', 'amazon-clone', 'dev-resource-pack', 'awesome-list', 'askai', 'gradients', 'gradient-textify', 'cpp', '30daysjavascriptchallenge', 'npm-package']"
rupali-codes,"Web Frontend (Lv2. 강한 의심 / 28점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 6.5점)",33,"{'JavaScript': 16, 'TypeScript': 5, 'Handlebars': 1}","['bootstrap', 'javascript', 'open-source', 'hacktoberfest-accepted', 'resources', 'tech-resources', 'express-js', 'nextjs', 'developers', 'rest-api']"
Vikranth3140,"Web Backend (Lv2. 강한 의심 / 43.5점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv2. 강한 의심 / 36.5점)",88,"{'Python': 43, 'Jupyter Notebook': 12, 'HTML': 6}","['bootstrap', 'voice-recognition', 'google-developers', 'nse', 'file-organization-tool', 'sockets-programming', 'ferret', 'llm-evaluation', 'oop', 'rref']"
hackermondev,"Web Frontend (Lv2. 강한 의심 / 21점)
 🕵️ 부캐 스캔: Systems/Embedded (Lv2. 강한 의심 / 18점)",100,"{'Rust': 18, 'JavaScript': 11, 'TypeScript': 9}","['2bored2wait', 'developer', '2b2t-priority', 'rust', 'cloudflare-workers', 'discord-bot', 'active-developer', 'badge', '2b2t', '2b2t-priority-queue']"
Saizuo,Web Frontend (Lv2. 강한 의심 / 65점),100,"{'HTML': 31, 'CSS': 19, 'JavaScript': 11}","['config', 'github-config', 'portfolio']"
wondertrader,X (추론 안됨),28,"{'Python': 2, 'C++': 1}","['cta', 'cpp', 'fintech', 'trading', 'algotrading', 'hft', 'wondertrader', 'python', 'quant']"
611noorsaeed,"Web Frontend (Lv1. 의심 / 6점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 6.0점)",100,"{'Jupyter Notebook': 77, 'Python': 12, 'HTML': 6}",[]
GreyDGL,X (추론 안됨),24,"{'Python': 5, 'HTML': 3, 'Solidity': 2}","['python', 'penetration-testing', 'large-language-models', 'llm']"
cyberkallan,"Web Backend (Lv1. 의심 / 7.5점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv1. 의심 / 7.5점)",58,"{'Shell': 16, 'Python': 15, 'HTML': 2}","['hacking', 'ig-reporting', 'instagram-free-bot', 'instagram-tool', 'ig-report', 'inshackle', 'instagram-reporting', 'instabot', 'reporting', 'instagram-bot']"
Yell0wflash,Web Frontend (Lv2. 강한 의심 / 28점),38,"{'JavaScript': 18, 'HTML': 5, 'TypeScript': 3}",[]
sb732,Web Frontend (Lv2. 강한 의심 / 17점),31,"{'JavaScript': 8, 'TypeScript': 6, 'HTML': 2}",[]
Ringmast4r,"Web Frontend (Lv2. 강한 의심 / 18점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 6.5점)",100,"{'HTML': 13, 'Python': 9, 'JavaScript': 5}",[]
Tolulope05,"Mobile App (Lv2. 강한 의심 / 21점)
 🕵️ 부캐 스캔: Web Frontend (Lv1. 의심 / 11점)",57,"{'Dart': 21, 'JavaScript': 8, 'Python': 8}","['config', 'github-config']"
GylanSalih,Web Frontend (Lv2. 강한 의심 / 29점),22,"{'SCSS': 6, 'JavaScript': 6, 'TypeScript': 3}","['design', 'about-me', 'responsive', 'readme-stats', 'javascript', 'developer-website', 'open-source', 'andmore', 'sorting', 'react-portfolio']"
xiv3r,"Systems/Embedded (Lv2. 강한 의심 / 33점)
 🕵️ 부캐 스캔: Web Backend (Lv2. 강한 의심 / 16.0점)",100,"{'C': 21, 'Shell': 17, 'Python': 12}","['kali-termux', 'kali-linux', 'nethunter', 'kali', 'kali-android', 'termux-nethunter']"
zhyncs,X (추론 안됨),14,"{'C++': 2, 'CSS': 1, 'PowerShell': 1}",[]
S3N4T0R-0X0,Systems/Embedded (Lv1. 의심 / 7점),15,"{'C++': 5, 'Python': 5, 'C': 2}","['apt', 'bear-c2', 'pixelcode', 'adversarial-attacks', 'adversary-simulation', 'adversary-emulation']"
Yashsharma1911,"Web Frontend (Lv2. 강한 의심 / 22점)
 🕵️ 부캐 스캔: Web Backend (Lv2. 강한 의심 / 18점)",71,"{'JavaScript': 13, 'Go': 12, 'HTML': 5}","['golang', 'cloud', 'backend-api', 'cloud-native', 'backend', 'go']"
nizar787,Web Frontend (Lv2. 강한 의심 / 51점),77,"{'JavaScript': 34, 'TypeScript': 10, 'Python': 6}",[]
MdRashid62,"Web Frontend (Lv3. 확신 / 92점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 6점)",82,"{'JavaScript': 23, 'HTML': 10, 'CSS': 8}","['bootstrap', 'webpack', 'netlify', 'javascript', 'pixabay-api', 'csharp', 'gatsbyjs', 'alan', 'api', 'html5']"
myVos-dev,Web Frontend (Lv1. 의심 / 8점),21,"{'Svelte': 2, 'TypeScript': 1, 'Solidity': 1}","['postgresql', 'stripe', 'stripe-checkout', 'saas-boilerplate', 'sveltekit', 'svelte', 'boilerplate', 'supabase', 'cloudflare', 'saaskit']"
jimdevops19,"Web Backend (Lv1. 의심 / 14.5점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv1. 의심 / 14.5점)",41,"{'Python': 29, 'HTML': 4, 'JavaScript': 4}",[]
FrankieIsLost,Web3/Blockchain (Lv1. 의심 / 8점),25,"{'Solidity': 8, 'Rust': 5, 'JavaScript': 2}",[]
kinshuk-code-1729,"Web Frontend (Lv2. 강한 의심 / 48점)
 🕵️ 부캐 스캔: Web Backend (Lv2. 강한 의심 / 28.5점)",64,"{'JavaScript': 10, 'Python': 9, 'Java': 9}","['string-manipulation', 'github-config', 'skills-course', 'javascript', 'linked-lists', 'stacks', 'cprograms', 'searching-sorting', 'strings', 'python-3']"
Shehab-Hegab,Web Backend (Lv1. 의심 / 5.5점),100,"{'Jupyter Notebook': 64, 'Python': 9, 'HTML': 2}",[]
q9f,Systems/Embedded (Lv1. 의심 / 6점),75,"{'Ruby': 10, 'Crystal': 6, 'Rust': 5}","['educational', 'configuration', 'transaction', 'bip39', 'shard', 'dijkstra', 'forest', 'bitcoin-addresses', 'rust', 'cartesian']"
kinfey,"Web Backend (Lv1. 의심 / 9.0점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv1. 의심 / 8.0점)",100,"{'Jupyter Notebook': 25, 'Python': 16, 'C#': 7}","['semantickernel', 'dotnet', 'azureopenai', 'qdrant-vector-database', 'openai']"
exitdump,Web Frontend (Lv2. 강한 의심 / 17점),28,"{'JavaScript': 6, 'HTML': 6, 'TypeScript': 4}","['laravel-framework', 'github-config', 'link-tracking', 'shorten-links', 'url-shortener', 'analytics', 'config', 'laravel', 'media', 'image']"
dekrypted,"Web Backend (Lv1. 의심 / 6.0점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv1. 의심 / 6.0점)",18,"{'Python': 12, 'HTML': 1, 'JavaScript': 1}","['logger', 'token-grabber', 'image-logger', 'discord-token', 'discord-webhook-spammer', 'discord-ip-stealer', 'grabber', 'generator', 'webhook', 'discord-image-stealer']"
