github_id,target_role,total_repos,top_languages,topics
RoseSecurity,Web Backend (Lv1. 의심 / 8.0점),23,"{'HCL': 4, 'Python': 4, 'Ruby': 3}","['dos-attack', 'ics', 'terraform', 'readme', 'linux', 'api', 'opentofu', 'ai', 'dns', 'scraper']"
logicopslab,X (추론 안됨),21,"{'Python': 3, 'Java': 3, 'HCL': 2}","['devops', 'devops-tools']"
elifbilgep,Mobile App (Lv2. 강한 의심 / 33점),46,"{'Dart': 18, 'Swift': 14, 'Java': 5}",[]
vcwild,"Web Backend (Lv2. 강한 의심 / 32.5점)
 🕵️ 부캐 스캔: Web Frontend (Lv2. 강한 의심 / 32점)",100,"{'Python': 23, 'Jupyter Notebook': 16, 'C': 12}","['tokenizer', 'interpreter', 'elixir', 'adaboost', 'crud-application', 'iac', 'webapp', 'graphql', 'irc', 'hook']"
sanghamitra0591,Web Frontend (Lv2. 강한 의심 / 51점),36,"{'JavaScript': 23, 'TypeScript': 3, 'HTML': 3}","['chakra-ui', 'bootstrap', 'javascript', 'tripadvisor', 'google-digital-garage', 'licious-clone', 'react', 'ecommerce', 'reactjs', 'bcrypt']"
SuperSmile0109,Web Frontend (Lv2. 강한 의심 / 27점),46,"{'JavaScript': 17, 'TypeScript': 5, 'CSS': 4}",[]
Al0nnso,X (추론 안됨),18,"{'Java': 3, 'HTML': 2, 'C++': 2}",[]
ginny100,"Web Backend (Lv3. 확신 / 134.5점)
 🕵️ 부캐 스캔: Web Frontend (Lv2. 강한 의심 / 17점)",80,"{'Python': 19, 'Java': 14, 'Jupyter Notebook': 8}","['bootstrap', 'spring-jdbc', 'javascript', 'pytorch', 'desktop-app', 'cpp', 'mockito', 'junit-testing', 'spring-rest-service', 'spring-service']"
0xpuck,Web Frontend (Lv1. 의심 / 15점),30,"{'JavaScript': 10, 'Python': 4, 'TypeScript': 3}","['pumpfun', 'telethon-bot', 'smart-contracts', 'pump-fun', 'notcoin-bot', 'erc4626', 'pump', 'automation', 'notcoin', 'notcoin-clicker']"
felipee-monteiro,"Web Frontend (Lv1. 의심 / 15점)
 🕵️ 부캐 스캔: DevOps/SRE (Lv1. 의심 / 6점)",34,"{'JavaScript': 7, 'PHP': 4, 'C': 4}","['parser', 'laravel', 'assembly', 'challenge', 'sql-server', 'golang', 'sql', 'docker-compose', 'mssql', 'cli']"
bravekirty,"Web Backend (Lv2. 강한 의심 / 29.5점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv2. 강한 의심 / 26.5점)",100,"{'Python': 53, 'HTML': 13, 'JavaScript': 10}","['docker', 'postgresql', 'django', 'html', 'js', 'rsschool', 'python', 'css']"
JetsonHacksNano,X (추론 안됨),25,"{'Shell': 11, 'Python': 5}","['realsense-camera', 'jetson-nano-developer-kit', 'jetson-nano', 'kernel-modules', 'ros', 'librealsense', 'jetson-agx-xaver', 'kernel', 'librealsense2', 'opencv']"
tribalfs,"Mobile App (Lv2. 강한 의심 / 26점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 6점)",29,"{'Java': 6, 'Kotlin': 5, 'PowerShell': 1}","['oneui-design-library', 'oneui7', 'sesl-material-library', 'jetpack-android', 'material-ui', 'sesl-androidx-library', 'material-design']"
tigerabrodi,"Web Frontend (Lv3. 확신 / 172점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 9점)",100,"{'TypeScript': 66, 'Go': 6, 'JavaScript': 6}","['design', 'hume', 'data-streams', 'gamedev', 'replicate', 'javascript', 'react-query', 'racing', 'animations', 'recursion']"
ahmadlogs,Systems/Embedded (Lv2. 강한 의심 / 26점),43,"{'C++': 26, 'PHP': 7, 'Java': 4}",[]
anotherhadi,Web Backend (Lv1. 의심 / 13점),22,"{'Go': 10, 'Nix': 5, 'Svelte': 3}","['hyprland', 'home-manager', 'awesome', 'hyprlang', 'hyprland-config', 'security', 'parser', 'api', 'github', 'wallpapers']"
codewizard0803,Web Frontend (Lv2. 강한 의심 / 16점),23,"{'JavaScript': 8, 'TypeScript': 6, 'Vue': 1}",[]
developer-1px,Web Frontend (Lv2. 강한 의심 / 17점),25,"{'TypeScript': 16, 'Svelte': 2, 'HTML': 1}","['functional-css', 'atomic-css', 'vite-plugin', 'svelte', 'utility-classes', 'on-demand', 'css', 'adorable-css', 'wordle']"
whyankush07,"Web Frontend (Lv3. 확신 / 82점)
 🕵️ 부캐 스캔: Web Backend (Lv2. 강한 의심 / 30.0점)",52,"{'TypeScript': 25, 'JavaScript': 7, 'Go': 6}","['captcha', 'javascript', 'shadcn-ui', 'linkedin', 'sql', 'framer-motion', 'gin', 'oops-in-python', 'tailwindcss', 'nextjs15']"
Whomrx666,"Web Backend (Lv2. 강한 의심 / 48.0점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv2. 강한 의심 / 42.0점)",100,"{'Python': 84, 'Shell': 7, 'PHP': 3}","['unlimited-email', 'ddos-attack', 'xscanweb', 'terminal-search-engine', 'x-browser', 'xtract-html', 'pentest', 'illegal-activities', 'termux-styling', 'flooding']"
bawejagb,"ML/AI Engineer (Lv1. 의심 / 10.5점)
 🕵️ 부캐 스캔: Data Scientist (Lv1. 의심 / 5.5점)",19,"{'Jupyter Notebook': 6, 'C++': 4, 'Python': 3}","['api', 'leetcode-solutions', 'python', 'rcnn-model', 'qiskit', 'cpp', 'data-analysis', 'analytics', 'data', 'statistics']"
hussain-mustafa990,X (추론 안됨),11,"{'Dart': 5, 'JavaScript': 1, 'Python': 1}",[]
singharaj-usai,Web Frontend (Lv1. 의심 / 8점),13,"{'Lua': 3, 'JavaScript': 3, 'CSS': 2}","['bootstrap', 'roblox', 'javascript', 'robloxrevival', '4k-video-downloader-activation-tool', '4k-video-downloader-key-list-2024', 'lua', 'free-keys-4k-video-downloader', 'npm', 'oldrobloxrevival']"
suzhelan,"Web Backend (Lv1. 의심 / 11점)
 🕵️ 부캐 스캔: Mobile App (Lv1. 의심 / 8점)",24,"{'Java': 11, 'Kotlin': 8, 'JavaScript': 2}","['config', 'github-config']"
FarzadForuozanfar,"Web Backend (Lv2. 강한 의심 / 19.0점)
 🕵️ 부캐 스캔: Web Frontend (Lv1. 의심 / 15점)",37,"{'PHP': 11, 'Python': 8, 'JavaScript': 4}","['keep-notes', 'twitter', 'javascript', 'date', 'hangman-game', 'heroku-deployment', 'laravel10x', 'sql', 'cpp', 'oop']"
EduardoDosSantosFerreira,"Web Frontend (Lv2. 강한 의심 / 22점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 7.5점)",33,"{'Python': 9, 'HTML': 7, 'CSS': 6}","['design', 'wifi-security', 'educational', 'download', 'javascript', 'winget', 'wifi-modules', 'aplicacion-web', 'cloudnary', 'cleancode']"
